"title","preacher","datetime","mp3","ytube_id","scloud","fire_hard","location","format"
"A Famine of Hearing God's Word","Pastor Anderson","2017-04-09 18:30:00","20170409P_AFamineOfHearingGodsWord.mp3","ok5WzgUm6Xg","","","FWBC","Preaching"
"Persecution","Pastor Anderson","2017-04-09 10:30:00","20170409A_Persecution.mp3","ntRXhb7LLhE","","","FWBC","Preaching"
"Take Heed How Ye Hear","Pastor Anderson","2017-04-07 19:00:00","20170407P_TakeHeedHowYeHear.mp3","05XmpMXN8W0","","","FWBC","Preaching"
"Jeremiah 50","Pastor Anderson","2017-04-05 19:00:00","20170405P_Jeremiah50.mp3","XiD08St7PJI","","","FWBC","Preaching"
"Them That Defile Themselves with Mankind","Pastor Anderson","2017-04-02 18:30:00","20170402P_ThemThatDefileThemselvesWithMankind.mp3","b9VYe4Dfxk8","","","FWBC","Preaching"
"A Strategy to Evangelize the Entire World","Pastor Anderson","2017-04-02 10:30:00","20170402A_AStrategyToEvangelizeTheEntireWorld.mp3","EeTn1TPw4ko","","","FWBC","Preaching"
"Their Rock is Not as Our Rock","Pastor Anderson","2017-03-31 18:00:00","20170331P_TheirRockIsNotAsOurRock.mp3","-BEZ5hzOUxE","","","FWBC","Preaching"
"Jeremiah 49","Pastor Anderson","2017-03-29 19:00:00","20170329P_Jeremiah49.mp3","BsfBxfdImo0","","","FWBC","Preaching"
"Good Sportsmanship","Pastor Anderson","2017-03-26 18:30:00","20170326P_GoodSportsmanship.mp3","8RkyedZYMWs","","","FWBC","Preaching"
"Making Wise the Simple","Pastor Anderson","2017-03-26 10:30:00","20170326A_MakingWiseTheSimple.mp3","xWxrzGRHeSY","","","FWBC","Preaching"
"Jeremiah 48","Pastor Anderson","2017-03-22 19:00:00","20170322P_Jeremiah48.mp3","pJ2QdnlS3ng","","","FWBC","Preaching"
"The Shack Exposed - Part 2","Pastor Anderson","2017-03-19 18:30:00","20170319P_TheShackExposed-Part2.mp3","NUZJWelzBIM","","","FWBC","Preaching"
"The Shack Exposed - Part 1","Pastor Anderson","2017-03-19 10:30:00","20170319A_TheShackExposed-Part1.mp3","C6mFfksH5_0","","","FWBC","Preaching"
"Jeremiah 47","Pastor Anderson","2017-03-15 19:00:00","20170315P_Jeremiah47.mp3","PnAh69J4r5Y","","","FWBC","Preaching"
"Behaving in the House of God","Pastor Anderson","2017-03-12 19:00:00","20170312P_BehavingInTheHouseOfGod.mp3","elIU16EROOs","","","FWBC","Preaching"
"The Humiliation of Christ: Accusation","Pastor Anderson","2017-03-12 10:30:00","20170312A_TheHumiliationOfChristAccusation.mp3","0V756ELzJp4","","","FWBC","Preaching"
"The Truth about Hinduism","Pastor Anderson","2017-03-09 20:00:00","20170309P_TheTruthAboutHinduism.mp3","k6NbqjRZr0Q","","","FWBC","Documentary"
"Jeremiah 46","Pastor Anderson","2017-03-08 19:00:00","20170308P_Jeremiah46.mp3","QCn0udnSKwo","","","FWBC","Preaching"
"Having Fellowship with Devils","Pastor Anderson","2017-03-05 18:30:00","20170305P_HavingFellowshipWithDevils.mp3","6ShCUggWmFM","","","FWBC","Preaching"
"The Humiliation of Christ: Rejection","Pastor Anderson","2017-03-05 10:30:00","20170305A_TheHumiliationOfChristRejection.mp3","M0-Qg-THlqA","","","FWBC","Preaching"
"Auditing a Missionary","Bro Garrett Kirchway","2017-03-01 19:00:00","20170301P_AuditingAMissionary.mp3","tKbIXP7IObA","","","FWBC","Preaching"
"Fake Spirituality","Pastor Anderson","2017-02-26 18:30:00","20170226P_FakeSpirituality.mp3","HDyQQUpe3h4","","","FWBC","Preaching"
"The Humiliation of Christ: Poverty","Pastor Anderson","2017-02-26 10:30:00","20170226A_TheHumiliationOfChristPoverty.mp3","9oPlmZbIIn0","","","FWBC","Preaching"
"Jeremiah 45","Pastor Anderson","2017-02-22 19:30:00","20170222P_Jeremiah45.mp3","HMAnAcYkmNE","","","FWBC","Preaching"
"Hindrances to Getting Saved","Pastor Anderson","2017-02-19 18:30:00","20170219P_HindrancesToGettingSaved.mp3","g2gKnEcb4ug","","","FWBC","Preaching"
"The Book of Psalms","Pastor Anderson","2017-02-19 10:30:00","20170219A_TheBookOfPsalms.mp3","IEmEprejSYE","","","FWBC","Preaching"
"Burn that Way After All-Documentary","Pastor Anderson","2017-02-17 19:00:00","20170217P_BurnThatWayAfterAll-Documentary.mp3","styLx-iWwC8","","","FWBC","Documentary"
"Jeremiah 44","Pastor Anderson","2017-02-15 19:00:00","20170215P_Jeremiah44.mp3","81h0pDHjvvs","","","FWBC","Preaching"
"Why Church Nurseries are Unbiblical","Pastor Anderson","2017-02-12 18:30:00","20170212P_WhyChurchNurseriesAreUnbiblical.mp3","-D6P5-MSPtY","","","FWBC","Preaching"
"The Workers of Iniquity","Pastor Anderson","2017-02-12 10:30:00","20170212A_TheWorkersOfIniquity.mp3","XZ2Kk3HoUAw","","","FWBC","Preaching"
"South Africa Testimony","Bro Chris Segura","2017-02-12 10:30:00","20170212A_SouthAfricaTestimony.mp3","smlpKerdyCg","","","FWBC","Preaching"
"Jeremiah 43","Pastor Anderson","2017-02-08 19:00:00","20170208P_Jeremiah43.mp3","wYNl7CK_R44","","","FWBC","Preaching"
"What is a Reprobate?","Pastor Anderson","2017-02-05 18:30:00","20170205P_WhatIsAReprobate.mp3","anyDWzbngDA","","","FWBC","Preaching"
"Freemasonry in Light of the Bible","Pastor Anderson","2017-02-05 10:30:00","20170205A_FreemasonryInLightOfTheBible.mp3","sN49lsoTBy8","","","FWBC","Preaching"
"Jeremiah 42","Pastor Anderson","2017-02-01 19:00:00","20170201P_Jeremiah42.mp3","goIHzf-aLkI","","","FWBC","Preaching"
"There is Only One God","Pastor Anderson","2017-01-29 18:30:00","20170129P_ThereIsOnlyOneGod.mp3","2uflIuYwN4I","","","FWBC","Preaching"
"The Financial Philosophy of FWBC","Pastor Anderson","2017-01-29 10:30:00","20170129A_TheFinancialPhilosophyOfFwbc.mp3","FHTLWq6vSo0","","","FWBC","Preaching"
"Jeremiah 41","Pastor Anderson","2017-01-25 19:00:00","20170125P_Jeremiah41.mp3","l4clIxOyXjE","","","FWBC","Preaching"
"False Teachings of Hinduism and the Bhagavad Gita","Pastor Anderson","2017-01-22 18:30:00","20170122P_FalseTeachingsOfHinduismAndTheBhagavadGita.mp3","WOvQnZ1Xoc0","","","FWBC","Preaching"
"Self Control","Pastor Anderson","2017-01-22 10:30:00","20170122A_SelfControl.mp3","4q-kyoF8O7M","","","FWBC","Preaching"
"Jeremiah 40","Pastor Anderson","2017-01-18 19:00:00","20170118P_Jeremiah40.mp3","o56dC-8GbMw","","","FWBC","Preaching"
"The Baby Boomer Generation","Pastor Anderson","2017-01-15 18:30:00","20170115P_TheBabyBoomerGeneration.mp3","xa7hbj4RI00","","","FWBC","Preaching"
"The Sinner's Prayer","Pastor Anderson","2017-01-15 10:30:00","20170115A_TheSinnersPrayer.mp3","U2Y6w_FwmFI","","","FWBC","Preaching"
"Jeremiah 39","Pastor Anderson","2017-01-11 19:00:00","20170111P_Jeremiah39.mp3","fO6lj5VYyYo","","","FWBC","Preaching"
"Bible Prophecy Foundations","Pastor Anderson","2017-01-08 18:30:00","20170108P_BibleProphecyFoundations.mp3","0fGg4oESAuk","","","FWBC","Preaching"
"Double Minded and Unstable","Pastor Anderson","2017-01-08 10:30:00","20170108A_DoubleMindedAndUnstable.mp3","np_Qt4z00uM","","","FWBC","Preaching"
"Jeremiah 38","Pastor Anderson","2017-01-04 19:00:00","20170104P_Jeremiah38.mp3","KbhN1VrdVgU","","","FWBC","Preaching"
"The Ostrich vs. the Eagle","Pastor Anderson","2017-01-01 18:30:00","20170101P_TheOstrichVsTheEagle.mp3","SwvGcS1kxT4","","","FWBC","Preaching"
"Baptism","Pastor Anderson","2017-01-01 10:30:00","20170101A_Baptism.mp3","Ll5jKy_34Ps","","","FWBC","Preaching"
"Jeremiah 37","Pastor Anderson","2016-12-28 19:00:00","20161228P_Jeremiah37.mp3","2bMI0n8z6Xw","","","FWBC","Preaching"
"The Seed of the Woman","Pastor Anderson","2016-12-25 18:30:00","20161225P_TheSeedOfTheWoman.mp3","kpnlRrFrKpA","","","FWBC","Preaching"
"God Was Manifest in the Flesh","Pastor Anderson","2016-12-25 10:30:00","20161225A_GodWasManifestInTheFlesh.mp3","1-CNC8vFPdo","","","FWBC","Preaching"
"Jeremiah 36","Pastor Anderson","2016-12-21 19:00:00","20161221P_Jeremiah36.mp3","reEpkQAbHek","","","FWBC","Preaching"
"Lessons from Jonestown","Pastor Anderson","2016-12-18 18:30:00","20161218P_LessonsFromJonestown.mp3","xv4nsR3rtak","","","FWBC","Preaching"
"Rewards for Serving Christ","Pastor Anderson","2016-12-18 10:30:00","20161218A_RewardsForServingChrist.mp3","W6ZaFL-LivE","","","FWBC","Preaching"
"Jeremiah 35","Pastor Anderson","2016-12-14 19:00:00","20161214P_Jeremiah35.mp3","1qhRsYyVO7s","https://soundcloud.com/bible-preaching/2016-12-14p-jeremiah-35","","FWBC","Preaching"
