id,title,preacher,datetime,mp3,ytube_id,scloud,fire_hard,location,transcript,format,created_at,updated_at,slug,dl_count
1,"Burn that Way After All-Documentary","Pastor Anderson","2017-02-18 02:00:00",,styLx-iWwC8,,f,"Faithful Word Baptist Church",,Documentary,"2017-04-14 00:58:35.077584","2017-04-15 21:57:46.102514",burn-that-way-after-all-documentary,0
2,"Jeremiah 44","Pastor Anderson","2017-02-16 02:00:00",,81h0pDHjvvs,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.105061","2017-04-15 21:57:46.141173",jeremiah-44,0
3,"Why Church Nurseries are Unbiblical","Pastor Anderson","2017-02-13 01:30:00",,-D6P5-MSPtY,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.123686","2017-04-15 21:57:46.156863",why-church-nurseries-are-unbiblical,0
4,"Jeremiah 43","Pastor Anderson","2017-02-09 02:00:00",,wYNl7CK_R44,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.143134","2017-04-15 21:57:46.173144",jeremiah-43,0
5,"What is a Reprobate?","Pastor Anderson","2017-02-06 01:30:00",,anyDWzbngDA,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.168553","2017-04-15 21:57:46.188932",what-is-a-reprobate,0
6,"Jeremiah 42","Pastor Anderson","2017-02-02 02:00:00",,goIHzf-aLkI,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.189121","2017-04-15 21:57:46.204492",jeremiah-42,0
7,"There is Only One God","Pastor Anderson","2017-01-30 01:30:00",,2uflIuYwN4I,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.209431","2017-04-15 21:57:46.220274",there-is-only-one-god,0
8,"Jeremiah 41","Pastor Anderson","2017-01-26 02:00:00",,l4clIxOyXjE,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.231088","2017-04-15 21:57:46.235545",jeremiah-41,0
9,"false Teachings of Hinduism and the Bhagavad Gita","Pastor Anderson","2017-01-23 01:30:00",,WOvQnZ1Xoc0,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.253687","2017-04-15 21:57:46.252744",false-teachings-of-hinduism-and-the-bhagavad-gita,0
10,"Jeremiah 40","Pastor Anderson","2017-01-19 02:00:00",,o56dC-8GbMw,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.275681","2017-04-15 21:57:46.267907",jeremiah-40,0
11,"The Baby Boomer Generation","Pastor Anderson","2017-01-16 01:30:00",,xa7hbj4RI00,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.303814","2017-04-15 21:57:46.284207",the-baby-boomer-generation,0
12,"Jeremiah 39","Pastor Anderson","2017-01-12 02:00:00",,fO6lj5VYyYo,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.323516","2017-04-15 21:57:46.303820",jeremiah-39,0
13,"Bible Prophecy Foundations","Pastor Anderson","2017-01-09 01:30:00",,0fGg4oESAuk,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.344609","2017-04-15 21:57:46.323765",bible-prophecy-foundations,0
14,"Jeremiah 38","Pastor Anderson","2017-01-05 02:00:00",,KbhN1VrdVgU,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.367269","2017-04-15 21:57:46.341702",jeremiah-38,0
15,"The Ostrich vs. the Eagle","Pastor Anderson","2017-01-02 01:30:00",,SwvGcS1kxT4,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.391234","2017-04-15 21:57:46.359587",the-ostrich-vs-the-eagle,0
16,"Jeremiah 37","Pastor Anderson","2016-12-29 02:00:00",,2bMI0n8z6Xw,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.417047","2017-04-15 21:57:46.376648",jeremiah-37,0
17,"The Seed of the Woman","Pastor Anderson","2016-12-26 01:30:00",,kpnlRrFrKpA,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.438530","2017-04-15 21:57:46.412183",the-seed-of-the-woman,0
18,"Jeremiah 36","Pastor Anderson","2016-12-22 02:00:00",,reEpkQAbHek,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.462177","2017-04-15 21:57:46.429892",jeremiah-36,0
19,"Lessons from Jonestown","Pastor Anderson","2016-12-19 01:30:00",,xv4nsR3rtak,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.482797","2017-04-15 21:57:46.448192",lessons-from-jonestown,0
20,"Jeremiah 35","Pastor Anderson","2016-12-15 02:00:00",,1qhRsYyVO7s,https://soundcloud.com/bible-preaching/2016-12-14p-jeremiah-35,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.504629","2017-04-15 21:57:46.465707",jeremiah-35,0
21,"Common Sense Missions","Pastor Anderson","2016-12-12 01:30:00",,4hAcmFLisCo,https://soundcloud.com/bible-preaching/2016-12-11p-common-sense-missions,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.529380","2017-04-15 21:57:46.481560",common-sense-missions,0
22,"Deceived by Alcohol","Pastor Anderson","2016-12-09 02:00:00",,e21gmO1Lth4,https://soundcloud.com/bible-preaching/2016-12-08p-deceived-by-alcohol,f,Guyana,,Preaching,"2017-04-14 00:58:35.551710","2017-04-14 00:58:35.551710",deceived-by-alcohol,0
23,"Founded on the Rock","Pastor Anderson","2016-12-08 02:00:00",,B3jRZJfLmVU,https://soundcloud.com/bible-preaching/2016-12-07p-founded-upon-a-rock,t,Guyana,,Preaching,"2017-04-14 00:58:35.572346","2017-04-14 00:58:35.572346",founded-on-the-rock,0
24,"Zeal Not According to Knowledge","Bro Garrett Kirchway","2016-12-05 01:30:00",,mQV1VnpW8mM,,f,Vancouver,,Preaching,"2017-04-14 00:58:35.593366","2017-04-14 00:58:35.593366",zeal-not-according-to-knowledge,0
25,"Bible Principles on Dating","Pastor Anderson","2016-12-05 01:30:00",,LiSM9bA6w3Q,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.615705","2017-04-15 21:57:46.497569",bible-principles-on-dating,0
26,"Reaping Where You Sow","Pastor Anderson","2016-11-28 01:30:00",,kh9evsxIQSM,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.642374","2017-04-15 21:57:46.513830",reaping-where-you-sow,0
27,"Happy Are These Thy Servants","Bro Tyler Baker","2016-11-24 02:00:00",,lTEaShmDkwM,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.663772","2017-04-15 21:57:46.531870",happy-are-these-thy-servants,0
28,"Joseph and Jesus","Bro Rick Martinez","2016-11-21 01:30:00",,TNFGErNTaEo,,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.683811","2017-04-15 21:57:46.548927",joseph-and-jesus,0
29,"Jeremiah 33","Pastor Anderson","2016-11-17 02:00:00",,oNE8-pcOhmc,https://soundcloud.com/bible-preaching/2016-11-16p-jeremiah-33,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.703407","2017-04-15 21:57:46.564866",jeremiah-33,0
30,"Patience When Teaching","Pastor Anderson","2016-11-14 01:30:00",,duP2pn_NSr4,https://soundcloud.com/bible-preaching/2016-11-13p-patient-when-teaching,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.725132","2017-04-15 21:57:46.581848",patience-when-teaching,0
31,"Jeremiah 32","Pastor Anderson","2016-11-10 02:00:00",,AWaDvZ2bzZA,https://soundcloud.com/bible-preaching/2016-11-09p-jeremiah-32,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.749234","2017-04-15 21:57:46.599546",jeremiah-32,0
32,"Praise the Lord","Pastor Anderson","2016-11-07 01:30:00",,0akh8WAtuN4,https://soundcloud.com/bible-preaching/2016-11-06p-praise-the-lord,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.768847","2017-04-15 21:57:46.616401",praise-the-lord,0
33,"Jeremiah 31","Pastor Anderson","2016-11-03 02:00:00",,QQdCAvyO-po,https://soundcloud.com/bible-preaching/2016-11-02p-jeremiah-31,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.790422","2017-04-15 21:57:46.635847",jeremiah-31,0
34,"Jesus Descended into Hell","Pastor Anderson","2016-10-31 01:30:00",,qVLQz-SuLKw,https://soundcloud.com/bible-preaching/2016-10-30p-jesus-descended-into-hell,f,"Faithful Word Baptist Church",,Preaching,"2017-04-14 00:58:35.809159","2017-04-15 21:57:46.652337",jesus-descended-into-hell,0
